Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tambah Logbook,Chrome 115.0.0.0,,,2023-08-03 16:28:25,2023-08-03 16:28:44,19.178s,PASSED
,,,,,,,
Test Cases/Login/TCLogin_Positive,Chrome 115.0.0.0,,,2023-08-03 16:28:25,2023-08-03 16:28:31,5.858s,PASSED
openWebDriver(),Chrome 115.0.0.0,,,2023-08-03 16:28:25,2023-08-03 16:28:28,2.559s,PASSED
"navigateToUrl(""http://103.180.125.58:8080/#/login"")",Chrome 115.0.0.0,,,2023-08-03 16:28:28,2023-08-03 16:28:29,0.830s,PASSED
"setText(findTestObject(""login/username_object""), ""dianaslama"")",Chrome 115.0.0.0,,,2023-08-03 16:28:29,2023-08-03 16:28:30,0.957s,PASSED
"setText(findTestObject(""login/password_object""), ""dianaslama"")",Chrome 115.0.0.0,,,2023-08-03 16:28:30,2023-08-03 16:28:30,0.698s,PASSED
"click(findTestObject(""login/button_object""))",Chrome 115.0.0.0,,,2023-08-03 16:28:30,2023-08-03 16:28:31,0.388s,PASSED
,,,,,,,
Test Cases/Logbook/001 Capaian Negative,Chrome 115.0.0.0,,,2023-08-03 16:28:31,2023-08-03 16:28:44,13.000s,PASSED
"click(findTestObject(""tambahlogbook/button_Tambah Logbook""))",Chrome 115.0.0.0,,,2023-08-03 16:28:31,2023-08-03 16:28:32,0.403s,PASSED
"inputFieldmulai = waitForElementVisible(findTestObject(""tambahlogbook/input_Jam Mulai""), 30)",Chrome 115.0.0.0,,,2023-08-03 16:28:32,2023-08-03 16:28:32,0.553s,PASSED
"inputFieldselesai = waitForElementVisible(findTestObject(""tambahlogbook/input_Jam Selesai""), 30)",Chrome 115.0.0.0,,,2023-08-03 16:28:32,2023-08-03 16:28:33,0.377s,PASSED
"executeJavaScript(""arguments[0].value = '13:00';"", Arrays.asList(inputFieldmulai))",Chrome 115.0.0.0,,,2023-08-03 16:28:33,2023-08-03 16:28:33,0.023s,PASSED
"executeJavaScript(""arguments[0].value = '04:00';"", Arrays.asList(inputFieldselesai))",Chrome 115.0.0.0,,,2023-08-03 16:28:33,2023-08-03 16:28:33,0.019s,PASSED
"setText(findTestObject(""tambahlogbook/input_Tanggal""), ""01/07/2023"")",Chrome 115.0.0.0,,,2023-08-03 16:28:33,2023-08-03 16:28:34,0.928s,PASSED
"setText(findTestObject(""tambahlogbook/input_Jam Mulai""), ""13:00 "")",Chrome 115.0.0.0,,,2023-08-03 16:28:34,2023-08-03 16:28:35,0.961s,PASSED
"setText(findTestObject(""tambahlogbook/input_Jam Selesai""), ""03:00"")",Chrome 115.0.0.0,,,2023-08-03 16:28:35,2023-08-03 16:28:36,0.953s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Mode Kerja""), ""WFO"", false)",Chrome 115.0.0.0,,,2023-08-03 16:28:36,2023-08-03 16:28:36,0.701s,PASSED
"setText(findTestObject(""tambahlogbook/input_Project""), ""HRSV Dashboard"")",Chrome 115.0.0.0,,,2023-08-03 16:28:36,2023-08-03 16:28:37,0.777s,PASSED
"setText(findTestObject(""tambahlogbook/input_Nama Tim""), ""HRSV Team"")",Chrome 115.0.0.0,,,2023-08-03 16:28:37,2023-08-03 16:28:38,0.753s,PASSED
"setText(findTestObject(""tambahlogbook/input_Use Case""), ""Tambah Logbook"")",Chrome 115.0.0.0,,,2023-08-03 16:28:38,2023-08-03 16:28:39,0.759s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Kegiatan""), ""Searching Materi"", false)",Chrome 115.0.0.0,,,2023-08-03 16:28:39,2023-08-03 16:28:39,0.684s,PASSED
"setText(findTestObject(""tambahlogbook/input_Hasil""), ""300"")",Chrome 115.0.0.0,,,2023-08-03 16:28:39,2023-08-03 16:28:40,0.840s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Next Step""), ""Pause"", false)",Chrome 115.0.0.0,,,2023-08-03 16:28:40,2023-08-03 16:28:41,0.681s,PASSED
"setText(findTestObject(""tambahlogbook/input_PathFilename""), ""testfilepath"")",Chrome 115.0.0.0,,,2023-08-03 16:28:41,2023-08-03 16:28:42,0.750s,PASSED
"setText(findTestObject(""tambahlogbook/input_Detail Pekerjaan""), ""test case detail pekerjaan"")",Chrome 115.0.0.0,,,2023-08-03 16:28:42,2023-08-03 16:28:42,0.829s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Waktu Kerja""), ""Jam Normal"", false)",Chrome 115.0.0.0,,,2023-08-03 16:28:42,2023-08-03 16:28:43,0.831s,PASSED
"click(findTestObject(""tambahlogbook/button_Submit""))",Chrome 115.0.0.0,,,2023-08-03 16:28:43,2023-08-03 16:28:44,0.631s,PASSED
