Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pengajuan Cuti,Chrome 114.0.0.0,,,2023-07-26 17:27:35,2023-07-26 17:27:50,14.651s,PASSED
,,,,,,,
Test Cases/TCLogin_Positive,Chrome 114.0.0.0,,,2023-07-26 17:27:36,2023-07-26 17:27:41,5.746s,PASSED
openWebDriver(),Chrome 114.0.0.0,,,2023-07-26 17:27:36,2023-07-26 17:27:39,2.496s,PASSED
"navigateToUrl(""http://103.180.125.58:8080/#/login"")",Chrome 114.0.0.0,,,2023-07-26 17:27:39,2023-07-26 17:27:39,0.784s,PASSED
"setText(findTestObject(""login/username_object""), ""dianaslama"")",Chrome 114.0.0.0,,,2023-07-26 17:27:39,2023-07-26 17:27:40,0.945s,PASSED
"setText(findTestObject(""login/password_object""), ""dianaslama"")",Chrome 114.0.0.0,,,2023-07-26 17:27:40,2023-07-26 17:27:41,0.700s,PASSED
"click(findTestObject(""login/button_object""))",Chrome 114.0.0.0,,,2023-07-26 17:27:41,2023-07-26 17:27:41,0.398s,PASSED
,,,,,,,
Test Cases/TCPengajuanCuti_Positive,Chrome 114.0.0.0,,,2023-07-26 17:27:41,2023-07-26 17:27:50,8.551s,PASSED
"click(findTestObject(""PengajuanCuti/select_Cuti dan Lembur""))",Chrome 114.0.0.0,,,2023-07-26 17:27:42,2023-07-26 17:27:43,0.393s,PASSED
"click(findTestObject(""PengajuanCuti/option_Pengajuan Cuti""))",Chrome 114.0.0.0,,,2023-07-26 17:27:43,2023-07-26 17:27:43,0.406s,PASSED
"click(findTestObject(""PengajuanCuti/button_Ajukan Cuti""))",Chrome 114.0.0.0,,,2023-07-26 17:27:43,2023-07-26 17:27:44,0.645s,PASSED
"waitForElementVisible(findTestObject(""PengajuanCuti/canvas_Tanda Tangan Digital""), 20)",Chrome 114.0.0.0,,,2023-07-26 17:27:44,2023-07-26 17:27:44,0.738s,PASSED
driver = getWebDriver(),Chrome 114.0.0.0,,,2023-07-26 17:27:44,2023-07-26 17:27:44,0.001s,PASSED
builder = new org.openqa.selenium.interactions.Actions(driver),Chrome 114.0.0.0,,,2023-07-26 17:27:44,2023-07-26 17:27:44,0.009s,PASSED
"ele = findWebElement(findTestObject(""PengajuanCuti/canvas_Tanda Tangan Digital""))",Chrome 114.0.0.0,,,2023-07-26 17:27:44,2023-07-26 17:27:45,0.336s,PASSED
drawAction = release().build(),Chrome 114.0.0.0,,,2023-07-26 17:27:45,2023-07-26 17:27:45,0.008s,PASSED
drawAction.perform(),Chrome 114.0.0.0,,,2023-07-26 17:27:45,2023-07-26 17:27:46,0.765s,PASSED
"click(findTestObject(""PengajuanCuti/input_Tanggal Cuti""))",Chrome 114.0.0.0,,,2023-07-26 17:27:46,2023-07-26 17:27:46,0.437s,PASSED
"click(findTestObject(""PengajuanCuti/value_Tanggal Cuti""))",Chrome 114.0.0.0,,,2023-07-26 17:27:46,2023-07-26 17:27:47,0.563s,PASSED
"selectOptionByValue(findTestObject(""PengajuanCuti/select_Jenis Cuti""), ""Cuti Tahunan"", false)",Chrome 114.0.0.0,,,2023-07-26 17:27:47,2023-07-26 17:27:47,0.831s,PASSED
"selectOptionByValue(findTestObject(""PengajuanCuti/select_Nama PIC""), ""20797c32-f666-4721-9247-6325808bdf36"", false)",Chrome 114.0.0.0,,,2023-07-26 17:27:47,2023-07-26 17:27:48,0.798s,PASSED
"setText(findTestObject(""PengajuanCuti/textarea_Keterangan Cuti""), ""13:00 "")",Chrome 114.0.0.0,,,2023-07-26 17:27:48,2023-07-26 17:27:49,0.695s,PASSED
"click(findTestObject(""PengajuanCuti/button_Submit""))",Chrome 114.0.0.0,,,2023-07-26 17:27:49,2023-07-26 17:27:49,0.585s,PASSED
"verifyElementText(findTestObject(""PengajuanCuti/verify_success""), ""Pengajuan cuti berhasil dibuat"")",Chrome 114.0.0.0,,,2023-07-26 17:27:49,2023-07-26 17:27:50,0.572s,PASSED
