Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tambah Logbook,Chrome 115.0.0.0,,,2023-08-03 17:08:50,2023-08-03 17:09:11,20.653s,PASSED
,,,,,,,
Test Cases/Login/TCLogin_Positive,Chrome 115.0.0.0,,,2023-08-03 17:08:50,2023-08-03 17:08:56,5.362s,PASSED
openWebDriver(),Chrome 115.0.0.0,,,2023-08-03 17:08:51,2023-08-03 17:08:53,2.242s,PASSED
"navigateToUrl(""http://103.180.125.58:8080/#/login"")",Chrome 115.0.0.0,,,2023-08-03 17:08:53,2023-08-03 17:08:54,0.774s,PASSED
"setText(findTestObject(""login/username_object""), ""dianaslama"")",Chrome 115.0.0.0,,,2023-08-03 17:08:54,2023-08-03 17:08:54,0.865s,PASSED
"setText(findTestObject(""login/password_object""), ""dianaslama"")",Chrome 115.0.0.0,,,2023-08-03 17:08:54,2023-08-03 17:08:55,0.688s,PASSED
"click(findTestObject(""login/button_object""))",Chrome 115.0.0.0,,,2023-08-03 17:08:55,2023-08-03 17:08:56,0.432s,PASSED
,,,,,,,
Test Cases/Logbook/015 Tambah Logbook Positive,Chrome 115.0.0.0,,,2023-08-03 17:08:56,2023-08-03 17:09:11,14.985s,PASSED
"click(findTestObject(""tambahlogbook/button_Tambah Logbook""))",Chrome 115.0.0.0,,,2023-08-03 17:08:56,2023-08-03 17:08:57,0.374s,PASSED
"inputFieldmulai = waitForElementVisible(findTestObject(""tambahlogbook/input_Jam Mulai""), 30)",Chrome 115.0.0.0,,,2023-08-03 17:08:57,2023-08-03 17:08:57,0.573s,PASSED
"inputFieldselesai = waitForElementVisible(findTestObject(""tambahlogbook/input_Jam Selesai""), 30)",Chrome 115.0.0.0,,,2023-08-03 17:08:57,2023-08-03 17:08:57,0.355s,PASSED
"executeJavaScript(""arguments[0].value = '13:00';"", Arrays.asList(inputFieldmulai))",Chrome 115.0.0.0,,,2023-08-03 17:08:57,2023-08-03 17:08:58,0.040s,PASSED
"executeJavaScript(""arguments[0].value = '04:00';"", Arrays.asList(inputFieldselesai))",Chrome 115.0.0.0,,,2023-08-03 17:08:58,2023-08-03 17:08:58,0.017s,PASSED
"setText(findTestObject(""tambahlogbook/input_Tanggal""), ""01/07/2023"")",Chrome 115.0.0.0,,,2023-08-03 17:08:58,2023-08-03 17:08:59,1.134s,PASSED
"setText(findTestObject(""tambahlogbook/input_Jam Mulai""), ""13:00 "")",Chrome 115.0.0.0,,,2023-08-03 17:08:59,2023-08-03 17:09:00,0.944s,PASSED
"setText(findTestObject(""tambahlogbook/input_Jam Selesai""), ""03:00"")",Chrome 115.0.0.0,,,2023-08-03 17:09:00,2023-08-03 17:09:01,0.966s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Mode Kerja""), ""WFO"", false)",Chrome 115.0.0.0,,,2023-08-03 17:09:01,2023-08-03 17:09:01,0.702s,PASSED
"setText(findTestObject(""tambahlogbook/input_Project""), ""HRSV Dashboard"")",Chrome 115.0.0.0,,,2023-08-03 17:09:01,2023-08-03 17:09:02,0.860s,PASSED
"setText(findTestObject(""tambahlogbook/input_Nama Tim""), ""HRSV Team"")",Chrome 115.0.0.0,,,2023-08-03 17:09:02,2023-08-03 17:09:03,0.725s,PASSED
"setText(findTestObject(""tambahlogbook/input_Use Case""), ""Tambah Logbook"")",Chrome 115.0.0.0,,,2023-08-03 17:09:03,2023-08-03 17:09:04,0.766s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Kegiatan""), ""Searching Materi"", false)",Chrome 115.0.0.0,,,2023-08-03 17:09:04,2023-08-03 17:09:04,0.685s,PASSED
"setText(findTestObject(""tambahlogbook/input_Hasil""), ""300"")",Chrome 115.0.0.0,,,2023-08-03 17:09:04,2023-08-03 17:09:05,0.786s,PASSED
"setText(findTestObject(""tambahlogbook/input_Capaian""), ""50"")",Chrome 115.0.0.0,,,2023-08-03 17:09:05,2023-08-03 17:09:06,0.691s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Next Step""), ""Pause"", false)",Chrome 115.0.0.0,,,2023-08-03 17:09:06,2023-08-03 17:09:06,0.708s,PASSED
"setText(findTestObject(""tambahlogbook/input_PathFilename""), ""testfilepath"")",Chrome 115.0.0.0,,,2023-08-03 17:09:06,2023-08-03 17:09:07,0.778s,PASSED
"setText(findTestObject(""tambahlogbook/input_Detail Pekerjaan""), ""test case detail pekerjaan"")",Chrome 115.0.0.0,,,2023-08-03 17:09:07,2023-08-03 17:09:09,1.495s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Waktu Kerja""), ""Jam Normal"", false)",Chrome 115.0.0.0,,,2023-08-03 17:09:09,2023-08-03 17:09:10,0.904s,PASSED
"click(findTestObject(""tambahlogbook/button_Submit""))",Chrome 115.0.0.0,,,2023-08-03 17:09:10,2023-08-03 17:09:11,0.846s,PASSED
