Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pengajuan Cuti,Chrome 114.0.0.0,,,2023-07-25 16:38:40,2023-07-25 16:38:59,18.800s,PASSED
,,,,,,,
Test Cases/TCLogin_Positive,Chrome 114.0.0.0,,,2023-07-25 16:38:40,2023-07-25 16:38:48,8.244s,PASSED
openWebDriver(),Chrome 114.0.0.0,,,2023-07-25 16:38:41,2023-07-25 16:38:44,3.480s,PASSED
"navigateToUrl(""http://103.180.125.58:8080/#/login"")",Chrome 114.0.0.0,,,2023-07-25 16:38:44,2023-07-25 16:38:46,1.446s,PASSED
"setText(findTestObject(""login/username_object""), ""dianaslama"")",Chrome 114.0.0.0,,,2023-07-25 16:38:46,2023-07-25 16:38:47,1.426s,PASSED
"setText(findTestObject(""login/password_object""), ""dianaslama"")",Chrome 114.0.0.0,,,2023-07-25 16:38:47,2023-07-25 16:38:48,0.865s,PASSED
"click(findTestObject(""login/button_object""))",Chrome 114.0.0.0,,,2023-07-25 16:38:48,2023-07-25 16:38:48,0.493s,PASSED
,,,,,,,
Test Cases/TCPengajuanCuti_Positive,Chrome 114.0.0.0,,,2023-07-25 16:38:48,2023-07-25 16:38:59,10.150s,PASSED
"click(findTestObject(""PengajuanCuti/select_Cuti dan Lembur""))",Chrome 114.0.0.0,,,2023-07-25 16:38:49,2023-07-25 16:38:50,0.465s,PASSED
"click(findTestObject(""PengajuanCuti/option_Pengajuan Cuti""))",Chrome 114.0.0.0,,,2023-07-25 16:38:50,2023-07-25 16:38:50,0.455s,PASSED
"click(findTestObject(""PengajuanCuti/button_Ajukan Cuti""))",Chrome 114.0.0.0,,,2023-07-25 16:38:50,2023-07-25 16:38:51,1.043s,PASSED
"waitForElementVisible(findTestObject(""PengajuanCuti/canvas_Tanda Tangan Digital""), 20)",Chrome 114.0.0.0,,,2023-07-25 16:38:51,2023-07-25 16:38:52,0.716s,PASSED
driver = getWebDriver(),Chrome 114.0.0.0,,,2023-07-25 16:38:52,2023-07-25 16:38:52,0.001s,PASSED
builder = new org.openqa.selenium.interactions.Actions(driver),Chrome 114.0.0.0,,,2023-07-25 16:38:52,2023-07-25 16:38:52,0.011s,PASSED
"ele = findWebElement(findTestObject(""PengajuanCuti/canvas_Tanda Tangan Digital""))",Chrome 114.0.0.0,,,2023-07-25 16:38:52,2023-07-25 16:38:52,0.334s,PASSED
drawAction = release().build(),Chrome 114.0.0.0,,,2023-07-25 16:38:52,2023-07-25 16:38:52,0.009s,PASSED
drawAction.perform(),Chrome 114.0.0.0,,,2023-07-25 16:38:52,2023-07-25 16:38:53,0.786s,PASSED
"click(findTestObject(""PengajuanCuti/input_Tanggal Cuti""))",Chrome 114.0.0.0,,,2023-07-25 16:38:53,2023-07-25 16:38:54,0.574s,PASSED
"click(findTestObject(""PengajuanCuti/value_Tanggal Cuti""))",Chrome 114.0.0.0,,,2023-07-25 16:38:54,2023-07-25 16:38:54,0.709s,PASSED
"selectOptionByValue(findTestObject(""PengajuanCuti/select_Jenis Cuti""), ""Cuti Tahunan"", false)",Chrome 114.0.0.0,,,2023-07-25 16:38:54,2023-07-25 16:38:55,0.947s,PASSED
"selectOptionByValue(findTestObject(""PengajuanCuti/select_Nama PIC""), ""20797c32-f666-4721-9247-6325808bdf36"", false)",Chrome 114.0.0.0,,,2023-07-25 16:38:55,2023-07-25 16:38:56,0.993s,PASSED
"setText(findTestObject(""PengajuanCuti/textarea_Keterangan Cuti""), ""13:00 "")",Chrome 114.0.0.0,,,2023-07-25 16:38:56,2023-07-25 16:38:57,0.922s,PASSED
"click(findTestObject(""PengajuanCuti/button_Submit""))",Chrome 114.0.0.0,,,2023-07-25 16:38:57,2023-07-25 16:38:58,0.689s,PASSED
"verifyElementText(findTestObject(""PengajuanCuti/verify_success""), ""Pengajuan cuti berhasil dibuat"")",Chrome 114.0.0.0,,,2023-07-25 16:38:58,2023-07-25 16:38:59,0.637s,PASSED
